review_id,source_queue_id,source_seed_id,source_kind,title,surface_family,modality,canonical_source_url,artifact_access_mode,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,duplicate_policy,adjudication_readiness,verdict,first_blocker,next_artifact_check,allowed_wording
E2FR-001,E2Q-004,E2S-004,existing_external_candidate,CLiD official inter-output,image_diffusion_score_packet,image,https://github.com/zhaisf/CLiD,public_scores_with_gated_identity_source,Partial,Partial,Pass,Pass,Partial,Pass,same_family_score_support,no_go_identity_manifest_missing,bounded_support,row_identity_binding_missing,Check whether a public manifest maps each inter_output row to COCO image identity caption split and role,CLiD can be described as strong prompt-conditioned support but not image-identity-safe E2 denominator evidence.
E2FR-002,E2Q-005,E2S-005,existing_external_candidate,Tracing the Roots,image_diffusion_feature_packet,image_cifar10_features,https://openreview.net/forum?id=mE74JKHTCE,public_supplement_feature_packet,Partial,Pass,Pass,Pass,Partial,Pass,distinct_feature_packet,priority_package_check_not_denominator,package_work_candidate_not_denominator,raw_target_and_sample_provenance_limited,Recheck OpenReview supplement hash central directory feature tensor hashes train/eval counts and replay metric contract,Tracing the Roots is the current priority package-work candidate but still not external denominator evidence.
E2FR-003,E2Q-006,E2S-006,existing_external_candidate,CopyMark official score artifacts,image_diffusion_score_artifacts,image,https://github.com/caradryanl/CopyMark,public_scattered_score_logs_and_tensors,Partial,Partial,Partial,Partial,Partial,Pass,same_family_official_support,no_go_compact_row_manifest_missing,bounded_support,compact_row_binding_manifest_missing,Check whether one public method family has a compact manifest joining filename role target checkpoint score and metric source,CopyMark is official score-artifact support evidence but not a compact row-bound E2 denominator row.
E2FR-004,E2Q-009,E2S-009,existing_external_candidate,MIDST Blending++,tabular_synthetic_data_score_export,tabular,https://github.com/CRCHUM-CITADEL/ensemble-mia,public_code_with_score_exports_plus_local_labels,Partial,Pass,Pass,Pass,Partial,Fail,separate_tabular_stratum,no_go_cross_modal_and_below_reopen_floor,exclude_backup,tabular_boundary_and_weak_metric_floor,Verify whether public score exports include labels or a public challenge label contract before any separate tabular stratum,Midst Blending++ stays tabular backup/support and must not be pooled with image-diffusion E2 denominator rows.
E2FR-005,E2Q-011,E2S-011,existing_external_candidate,Quantile/SecMI public packet,third_party_support_score_packet,image_cifar,https://github.com/neilkale/quantile-diffusion-mia,public_third_party_score_rows_and_splits,Partial,Pass,Pass,Pass,Partial,Partial,secmia_family_overlap,no_go_third_party_officialness_unresolved,bounded_support,official_quantile_provenance_missing,Confirm whether authors publish official quantile-regression outputs or bless this SecMI-style packet,Quantile/SecMI is third-party SecMI-style support evidence and not an official quantile-regression E2 denominator row.
E2FR-006,E2SCT-004,E2SCT-004,scout_priority_review,GenAI Confessions black-box,candidate_blackbox_response_surface,image,https://github.com/hanyfarid/MembershipInference,public_repo_plus_zenodo_hint,Partial,Partial,Fail,Partial,Partial,Fail,blackbox_backup,no_go_public_response_or_score_packet_missing,backup_only,generated_outputs_or_dreamsim_scores_not_publicly_bound,Inspect Zenodo catalog or file listing for per-row generated outputs DreamSim scores target/service identity and labels before download,GenAI Confessions is black-box related support until public row-bound outputs or scores are proven.
E2FR-007,E2SCT-012,E2SCT-012,scout_priority_review,Shake-to-Leak,candidate_blackbox_or_finetune_surface,image,https://github.com/VITA-Group/Shake-to-Leak,public_runnable_code_no_frozen_packet,Partial,Fail,Fail,Partial,Partial,Fail,secmia_family_overlap,no_go_requires_local_generation_or_finetuning,backup_only,public_private_set_checkpoint_response_or_score_packet_missing,Look only for released private-set manifests fixed checkpoints and SecMI output scores,Shake-to-Leak is runnable-code support and must not be counted without frozen public private-set checkpoint and score artifacts.
E2FR-008,E2SCT-016,E2SCT-016,scout_priority_review,MIAHOLD HOLD++,defense_or_purifier_boundary,mixed_audio_cifar,https://github.com/bensterl15/MIAHOLD,public_code_and_examples_no_score_packet,Partial,Partial,Fail,Partial,Partial,Fail,mixed_modality_defense_backup,no_go_checkpoint_bound_scores_missing,backup_support,checkpoint_bound_membership_scores_missing,Check small public listings only for score arrays ROC rows or evaluation CSVs bound to a named target,MIAHOLD is defense or mixed-modality support and not an E2 denominator row.
E2FR-009,E2SCT-021,E2SCT-021,scout_priority_review,ELSA Health Privacy Challenge,gated_or_starter_benchmark,biomedical_tabular,https://github.com/PMBio/Health-Privacy-Challenge,public_starter_with_gated_real_targets,Fail,Partial,Fail,Partial,Partial,Fail,gated_starter_benchmark,no_go_public_target_absent,exclude_backup,actual_challenge_data_gated_and_toy_public_surface,Separate public toy baseline from real gated challenge assets and admit only if public targets labels scores and metrics exist,ELSA is benchmark context only; public starter assets are not row-bound E2 membership evidence.
E2FR-010,E2SCT-001,E2SCT-001,scout_semantic_review,MT-MIA relational diffusion score packet,tabular_or_relational_synthetic_data,relational_tabular,https://github.com/joshward96/MT-MIA,public_repo_with_score_metric_hints,Partial,Partial,Partial,Partial,Partial,Fail,separate_relational_tabular_stratum,no_go_cross_domain_consumer_boundary,bounded_cross_domain_support,cross_modal_consumer_boundary_mismatch,Open a separate relational-tabular stratum only if row-id binding and consumer boundary are explicitly defined,MT-MIA is public relational-tabular diffusion membership support evidence not an image-diffusion denominator row.
E2FR-011,E2SCT-002,E2SCT-002,scout_semantic_review,DMin data attribution,lora_or_data_attribution,sd3_lora_attribution,https://github.com/huawei-lin/DMin,public_repo_and_hf_dataset_hints,Partial,Partial,Fail,Fail,Partial,Fail,data_attribution_family,no_go_not_membership_semantics,exclude_related_method,attribution_not_member_vs_nonmember_inference,Keep only as attribution-adjacent context unless pointwise membership labels scores and metrics are published,DMin may be cited as diffusion training-data attribution context not E2 membership evidence.
E2FR-012,E2SCT-005,E2SCT-005,scout_semantic_review,DIFFENCE,defense_or_purifier_boundary,classifier_defense,https://github.com/SPIN-UMass/Diffence,public_code_plus_zenodo_hint,Partial,Partial,Fail,Partial,Partial,Fail,classifier_defense_related_method,no_go_target_is_classifier_not_generator,exclude_related_method,protected_target_is_classifier,Use only as classifier-defense related work unless diffusion-generator target scores are published,DIFFENCE uses diffusion purification around classifier MIA and is not a diffusion-generator membership row.
E2FR-013,E2SCT-013,E2SCT-013,scout_semantic_review,DCR copying manifest,memorization_copying_copyright,copying_memorization,https://github.com/somepago/DCR,public_code_and_caption_manifest_hints,Partial,Partial,Fail,Partial,Partial,Fail,copying_semantic_shift,no_go_not_pointwise_membership,exclude_related_method,copying_replication_not_member_vs_nonmember_scores,Look for a true member/nonmember score or response packet before any membership wording,DCR is copying or replication context and not pointwise diffusion membership evidence.
E2FR-014,E2SCT-006,E2SCT-006,scout_artifact_followup,DSiRe LoRA-WiSE,lora_or_data_attribution,lora_weight_dataset_size,https://github.com/MoSalama98/DSiRe,public_code_and_hf_dataset_hint,Partial,Fail,Fail,Fail,Partial,Fail,lora_weight_family,no_go_code_only_no_pointwise_labels,backup_artifact_followup,per_sample_membership_labels_and_scores_absent,Apply weight-only lane gate and look for per-sample labels before any E2 use,DSiRe is LoRA weight or dataset-size support unless it exposes pointwise membership evidence.
E2FR-015,E2SCT-009,E2SCT-009,scout_artifact_followup,Memorization Anisotropy,memorization_copying_copyright,prompt_memorization,https://github.com/rohanasthana/memorization-anisotropy,public_code_and_prompt_lists,Partial,Fail,Fail,Partial,Partial,Fail,memorization_semantic_shift,no_go_prompt_memorization_not_pointwise_mia,backup_artifact_followup,prompt_split_not_bound_to_training_identity_membership,Check prompt split against immutable training identity before any membership wording,Memorization Anisotropy is memorization context not pointwise E2 membership denominator evidence.
E2FR-016,E2SCT-014,E2SCT-014,scout_artifact_followup,CDI copyrighted data identification,memorization_copying_copyright,dataset_level_identification,https://github.com/sprintml/copyrighted_data_identification,public_metric_code_hint,Partial,Fail,Fail,Partial,Partial,Fail,dataset_level_boundary,no_go_dataset_level_not_per_sample_mia,exclude_related_method,dataset_level_cdi_not_per_sample_membership,Apply dataset-level boundary and look for feature or score outputs only for a separate lane,CDI is dataset-level copyrighted-data identification and not per-sample E2 membership evidence.
