pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,F,Pass,Pass,Pass,Pass,Pass,Pass,admitted,,"Existing verified five-row bundle with consumer contract and reportable metric rows."
E2P-002,F,Pass,Pass,Pass,Pass,Partial,Partial,bounded-support,consumer_or_delta_gate,"Strong H2 mechanism candidate with response caches and replayed metrics but no admitted product contract."
E2P-003,F,Pass,Partial,Pass,Partial,Partial,Fail,candidate-only,split_gate,"Official numeric score files exist but row identity manifest and accessible gated split metadata are missing."
E2P-004,F,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,consumer_or_delta_gate,"Official logs metrics and selected tensors support research context but no single row-bound manifest or checkpoint provenance."
E2P-005,F,Pass,Pass,Pass,Pass,Partial,Partial,bounded-support,consumer_or_delta_gate,"Exact split and local score packet support a bounded negative scout result but not product admission."
E2P-006,F,Pass,Pass,Pass,Pass,Partial,Fail,candidate-only,provenance_gate,"Local collaborator packet is replayable but source-confounded and not a public immutable asset."
E2P-007,F,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Official code exists but no row-bound pre/post scores responses metrics or verifier surface."
E2P-008,F,Fail,Fail,Fail,Fail,Fail,Fail,blocked,target_gate,"Withdrawn arXiv metadata only with no current PDF official code or artifact packet."
E2P-009,F,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,score_or_response_gate,"Relevant public code and deterministic split construction exist but no checkpoint-bound score packet is exposed."
E2P-010,F,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Relevant public scripts exist but no committed score or manifest packet is visible."
E2P-011,F,Fail,Fail,Fail,Fail,Partial,Fail,blocked,target_gate,"ArXiv metadata only in this batch so no target split score or metric artifact is visible."
E2P-012,F,Fail,Fail,Fail,Fail,Partial,Fail,blocked,target_gate,"ArXiv metadata only in this batch so no target split score or metric artifact is visible."
E2P-013,F,Partial,Pass,Fail,Fail,Partial,Fail,bounded-support,score_or_response_gate,"Public HF dataset gives member and nonmember shards but no row-bound attack scores or metric verifier."
E2P-014,F,Partial,Pass,Fail,Fail,Partial,Fail,bounded-support,score_or_response_gate,"Official code and split files are public but no committed row-bound scores or replayed metric packet are shown."
E2P-015,F,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Repository describes splits model link and attack scripts but no committed row-bound score packet is visible."
