pilot_id,title,source_url,artifact_url,observed_public_files,consumer_question,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,Reportable bundle,docs/evidence/admitted-results-summary.md,five mixed-strength reportable rows,reportable metric bundle,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-002,H2 output-cloud geometry,docs/evidence/h2-output-cloud-geometry-20260525.md,existing H2 response caches,response cache plus replayed metrics,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-003,CLiD official inter-output,docs/evidence/clid-identity-manifest-gate-20260515.md,official inter-output score files,score files,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-004,CopyMark official score artifacts,docs/evidence/copymark-official-score-artifact-gate-20260515.md,official result JSON/image logs/score tensors,score artifacts,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-005,ReDiffuse STL-10 scout,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,exact split plus bounded local score packet,split plus local score packet,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-006,Separately supplied SD ReDiffuse,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,restricted 5000-row packet and ROC files,restricted score packet,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-007,GUARD surgical mitigation,docs/evidence/guard-surgical-mitigation-artifact-gate-20260523.md,official GitHub kairanzhao/GUARD; scripts but no row packet,code-public repository,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-008,Discrete DLM withdrawn paper,docs/evidence/discrete-dlm-withdrawn-artifact-gate-20260523.md,arXiv 2605.16445v2 withdrawn; no PDF or official code,withdrawn paper metadata,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-009,fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,DDIM/DCGAN code; attack scripts; deterministic runtime split construction; FID stats; no checkpoint-bound score packet,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-010,Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,README; scripts/download_laion_subset.py; scripts/generate.py; scripts/run_attack.py; scripts/run_attack_dp.py; src attack/evaluation modules; no committed score or manifest packet,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,n/a,arXiv metadata only in this batch,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-012,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,n/a,arXiv metadata only in this batch,"Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-013,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,https://huggingface.co/datasets/antoniaaa/laion_mi,"Dataset Viewer reports default config with members=13396 rows and nonmembers=26874 rows, total=40270 rows, two columns (url, caption), and separate members/nonmembers parquet shards; dataset card links arXiv 2306.12983 and states the dataset and setup are published","Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-014,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,https://github.com/jinhaoduan/SecMI,"README states this is the official implementation, names SecMI, documents training and SecMI execution, says default training loads splittings stored in mia_evals/member_splits, and links pretrained models; repository tree exposes README.md, secmia.py, main.py, train.sh, mia_evals/member_splits with four train_ratio0.5 split npz files, mia_evals/measures, score, and stats/cifar10.train.npz","Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
E2P-015,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,https://github.com/HailongHuPri/MIDM,"README links the arXiv and ISC paper, describes data_process.py producing ffhq_1000_idx.npy for member/nonmember indices, documents a pre-trained DDPM Google Drive link, says loss_attack.py outputs loss values of all samples, says likelihood_attack.py outputs likelihood values of all samples, and lists Example.ipynb plus diffusion/attack code","Can this public evidence support the source claim as an audit/report statement? If not, which artifact is missing?",,,,,,,,,,
