corpus,gate,outcome,count
v1 evidence-note corpus,Target,Pass,4
v1 evidence-note corpus,Target,Partial,8
v1 evidence-note corpus,Target,Fail,9
v1 evidence-note corpus,Split,Pass,8
v1 evidence-note corpus,Split,Partial,3
v1 evidence-note corpus,Split,Fail,10
v1 evidence-note corpus,Evidence,Pass,10
v1 evidence-note corpus,Evidence,Partial,1
v1 evidence-note corpus,Evidence,Fail,10
v1 evidence-note corpus,Metric,Pass,10
v1 evidence-note corpus,Metric,Partial,1
v1 evidence-note corpus,Metric,Fail,10
v1 evidence-note corpus,Boundary,Pass,1
v1 evidence-note corpus,Boundary,Partial,7
v1 evidence-note corpus,Boundary,Fail,13
v1 evidence-note corpus,Surface delta,Pass,17
v1 evidence-note corpus,Surface delta,Partial,4
v1 evidence-note corpus,Surface delta,Fail,0
fixed-search batch,Target,Pass,0
fixed-search batch,Target,Partial,5
fixed-search batch,Target,Fail,12
fixed-search batch,Split,Pass,0
fixed-search batch,Split,Partial,2
fixed-search batch,Split,Fail,15
fixed-search batch,Evidence,Pass,0
fixed-search batch,Evidence,Partial,1
fixed-search batch,Evidence,Fail,16
fixed-search batch,Metric,Pass,0
fixed-search batch,Metric,Partial,1
fixed-search batch,Metric,Fail,16
fixed-search batch,Boundary,Pass,0
fixed-search batch,Boundary,Partial,8
fixed-search batch,Boundary,Fail,9
fixed-search batch,Surface delta,Pass,11
fixed-search batch,Surface delta,Partial,5
fixed-search batch,Surface delta,Fail,1
