review_id,source_row_id,title,weak_surface_family,weak_rules_under_test,public_surface_observation,review_question,packet_status
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,artifact-availability,artifact_availability_would_promote; paper_claim_artifact_link_would_promote,100 public paired intraining/outoftraining STROLL annotation rows,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,code-availability,code_availability_would_promote; paper_claim_artifact_link_would_promote,Official runnable fine-tuning/leakage code and SecMI/data-extraction scripts,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,mixed-modality defense metric-code,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Defense code, split hints, CIFAR HOLD config, and PIA-style metric code","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,gated-benchmark starter-metric,code_availability_would_promote; metric_code_split_would_promote; artifact_availability_would_promote; paper_claim_artifact_link_would_promote,"Public biomedical synthetic-data starter package with MIA code, example labels/predictions, and metric contract","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-002,E2SCT-002,DMin,attribution-vs-membership,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official repo plus public HF train/test dataset, LoRA weights, and cached gradient/influence artifacts","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-005,E2SCT-005,DIFFENCE,classifier-defense consumer-boundary,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official code, Zenodo code snapshot, diffusion-purifier components, classifier-defense configs, and MIA evaluation scripts","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-013,E2SCT-013,DCR,copying-vs-membership,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Public copying/retrieval code, metrics workflow, and caption manifest metadata","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,prompt-memorization,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official code, prompt mem/nmem file surface, OpenReview paper, and memorization metric description","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,dataset-level-vs-per-sample,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official repo with CDI/MIA configs, feature-extraction, score-computation, and evaluation actions","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,code-and-empty-asset-link,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Public latent-space MIA code, CVPR paper claim, empty split/checkpoint asset link, and visible split/checkpoint/cache commands","Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-020,E2SCT-020,LSA-Probe music diffusion,mock-demo-score,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,Paper and project repo link plus GitHub Pages demo with score-like JSON arrays and mock-data generator,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-019,E2SCT-019,VidLeaks T2V,t2v-code-snapshot,code_availability_would_promote; paper_claim_artifact_link_would_promote,DOI-backed Zenodo text-to-video MIA code snapshot with a dead related GitHub tag,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
FPR-E2SCT-024,E2SCT-024,DME,official-repo-stub,code_availability_would_promote,Official public GitHub repository with one README-only commit and an official-implementation description,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",blocker_blinded_prepared_not_adjudicated
