source,label,role,auc,asr,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
h2-main,output-cloud 512/512,candidate,0.961529,0.900391,0.333984,0.117188
h2-main,raw H2 logistic,baseline,0.905693,0.841797,0.134766,0.0
h2-main,lowpass H2 logistic,baseline,0.895679,0.831055,0.148438,0.025391
h2-main,label shuffle,sanity,0.507595,0.521484,0.011719,0.003906
h2-control,shared-position seed 176,control,0.967819,0.923828,0.410156,0.132812
h2-control,shared-position label shuffle,sanity,0.464066,0.505859,0.003906,0.0
h2-control,shared-position seed 177,stability,0.956192,0.896484,0.285156,0.109375
h2-control,seed 177 label shuffle,sanity,0.48407,0.513672,0.023438,0.011719
h2-transfer,shared_position_seed176 to shared_position_seed177,transfer,0.94899,0.884766,0.375,0.058594
h2-transfer,shared_position_seed177 to shared_position_seed176,transfer,0.97052,0.935547,0.390625,0.074219
h2-img2img,img2img_admission_25_25_strength_0p75,portability,0.7888,0.8,0.0,0.0
h2-img2img,img2img_stability_10_10_strength_0p75,portability,0.96,0.9,0.8,0.8
